temp,atemp,hum,windspeed,season,yr,mnth,hr,weekday,weathersit
0.2,0.2576,0.69,0.0,4,0,12,2,1,1
0.64,0.5758,0.83,0.194,3,0,7,6,6,2
0.5,0.4848,0.63,0.3582,4,0,11,11,0,1
0.82,0.8333,0.63,0.194,3,1,6,23,5,3
0.62,0.6212,0.38,0.2537,2,0,5,13,2,2
0.74,0.6818,0.58,0.1343,3,1,9,7,6,2
0.2,0.2273,0.29,0.0896,1,0,3,11,4,1
0.52,0.5,0.42,0.1045,1,1,1,19,6,1
0.22,0.2273,0.93,0.1642,1,1,2,23,0,2
0.8,0.6818,0.22,0.4925,2,0,6,16,4,1
0.66,0.6061,0.83,0.0896,2,1,6,5,3,1
0.36,0.3485,0.81,0.1343,2,1,4,9,0,2
0.62,0.5152,1.0,0.3284,3,0,9,19,4,3
0.3,0.3333,0.87,0.0,4,1,12,22,6,2
0.66,0.6212,0.65,0.3582,3,0,8,5,1,1
0.54,0.5152,0.52,0.0,3,1,9,23,1,1
0.54,0.5152,0.6,0.0,2,0,6,6,6,1
0.52,0.5,0.55,0.1343,4,1,9,21,6,1
0.56,0.5303,0.88,0.0,2,1,5,8,5,1
0.36,0.3333,0.81,0.3582,4,0,11,13,4,3
0.4,0.4091,0.24,0.4179,4,1,11,18,4,1
0.56,0.5303,0.68,0.2836,3,1,9,0,3,2
0.38,0.3939,0.82,0.2239,1,0,12,7,5,1
0.56,0.5303,0.88,0.1343,2,1,5,8,2,2
0.68,0.6364,0.61,0.3582,2,0,4,17,2,1
0.66,0.6212,0.74,0.1343,2,1,6,8,1,1
0.44,0.4394,1.0,0.0896,4,0,12,11,3,3
0.6,0.5606,0.83,0.2537,3,0,9,6,4,2
0.7,0.6667,0.79,0.194,3,1,7,22,6,1
0.42,0.4242,0.67,0.3881,1,1,1,19,0,3
0.16,0.197,0.59,0.0896,1,0,1,2,6,2
0.52,0.5,0.55,0.1045,2,1,4,21,4,1
0.6,0.6212,0.4,0.3582,2,1,6,20,1,1
0.76,0.6818,0.43,0.2836,3,0,7,12,6,1
0.7,0.6515,0.58,0.1045,3,1,7,6,1,1
0.5,0.4848,0.51,0.3881,2,0,5,14,3,1
0.82,0.7576,0.46,0.194,3,0,7,10,3,1
0.58,0.5455,0.64,0.0,4,1,10,8,5,1
0.62,0.5909,0.78,0.1045,2,1,5,9,6,1
0.32,0.303,0.53,0.2239,4,1,11,23,5,1
0.5,0.4848,0.45,0.2239,4,0,10,11,5,1
0.68,0.6364,0.83,0.2239,3,0,7,23,3,1
0.24,0.2273,0.35,0.194,1,0,2,13,5,1
0.8,0.803,0.66,0.1343,3,0,8,10,0,1
0.62,0.6212,0.35,0.3881,4,0,10,15,0,1
0.58,0.5455,0.83,0.0,2,1,5,8,3,1
0.56,0.5303,0.64,0.3284,4,1,10,18,4,2
0.42,0.4242,0.54,0.2239,4,1,10,16,3,2
0.76,0.7121,0.58,0.2985,2,1,5,18,0,1
0.28,0.2727,0.56,0.1642,1,1,3,22,2,1
0.82,0.7576,0.46,0.1045,3,1,7,18,1,1
0.32,0.3182,0.66,0.194,1,0,3,10,2,2
0.42,0.4242,0.58,0.1045,4,1,10,14,1,2
0.38,0.3939,0.4,0.2836,1,1,1,0,0,1
0.44,0.4394,0.41,0.194,4,1,11,12,3,1
0.3,0.3333,0.81,0.0,4,0,12,9,0,1
0.72,0.697,0.74,0.1343,3,1,9,10,5,1
0.82,0.7576,0.46,0.2537,3,0,8,20,2,2
0.54,0.5152,0.73,0.1045,4,1,10,23,2,1
0.66,0.6212,0.36,0.194,2,1,5,17,6,2
0.24,0.2879,0.65,0.0,4,1,11,7,1,1
0.52,0.5,0.59,0.2537,4,1,9,4,6,1
0.24,0.2879,0.65,0.0,1,0,2,0,1,1
0.32,0.2879,0.42,0.3582,1,1,2,4,2,1
0.82,0.7879,0.56,0.2836,3,0,6,15,3,2
0.2,0.2121,0.37,0.1343,1,1,1,7,0,1
0.64,0.6061,0.73,0.0896,2,1,6,8,0,1
0.5,0.4848,0.55,0.2239,2,0,4,0,2,1
0.62,0.6212,0.53,0.0,2,0,6,23,3,1
0.72,0.6515,0.3,0.1045,3,0,8,13,2,1
0.82,0.7424,0.43,0.2239,3,1,7,10,2,1
0.4,0.4091,0.76,0.0896,4,1,11,4,1,1
0.5,0.4848,0.72,0.1642,4,0,10,11,1,2
0.74,0.697,0.66,0.0896,3,1,7,0,4,1
0.5,0.4848,0.88,0.1642,2,1,3,9,3,2
0.5,0.4848,0.63,0.1343,2,1,5,1,2,2
0.56,0.5303,0.94,0.0,2,1,5,4,2,3
0.86,0.7727,0.39,0.2537,3,1,7,14,6,1
0.34,0.3333,0.81,0.1343,1,0,12,8,6,1
0.16,0.1818,0.64,0.1343,1,0,1,9,6,1
0.12,0.1212,0.36,0.2537,1,0,1,20,6,1
0.2,0.2576,0.8,0.0,1,0,2,2,1,1
0.34,0.303,0.93,0.2985,1,0,2,8,1,2
0.7,0.6667,0.74,0.1343,3,0,8,23,4,2
0.56,0.5303,0.88,0.1642,2,0,5,2,1,3
0.4,0.4091,0.82,0.3582,4,0,10,9,6,3
0.36,0.3333,0.43,0.2537,1,1,2,11,1,1
0.44,0.4394,0.72,0.0,4,1,9,5,0,1
0.42,0.4242,0.94,0.2537,4,1,12,20,1,2
0.7,0.6667,0.89,0.1045,3,1,7,1,1,3
0.4,0.4091,0.87,0.0,4,0,11,1,4,2
0.36,0.3333,0.46,0.4179,4,0,12,8,5,1
0.4,0.4091,0.62,0.0,4,1,10,22,6,1
0.54,0.5152,0.42,0.3582,1,1,3,19,3,1
0.38,0.3939,0.87,0.0,4,1,12,3,1,1
0.74,0.7121,0.74,0.2239,3,0,6,19,2,2
0.2,0.2273,0.69,0.1045,1,0,3,5,2,1
0.26,0.2727,0.81,0.1045,1,1,1,23,2,1
0.42,0.4242,0.54,0.0896,1,0,3,19,6,1
0.82,0.803,0.59,0.0,3,0,7,11,2,1
0.56,0.5303,0.64,0.0896,1,1,3,17,0,1
0.58,0.5455,0.46,0.4179,3,1,6,9,2,1
0.6,0.6212,0.53,0.3284,2,1,5,13,1,2
0.3,0.2879,0.45,0.2836,4,1,11,4,4,2
0.24,0.2273,0.65,0.194,1,0,3,2,6,1
0.32,0.303,0.81,0.3284,4,1,11,9,2,3
0.34,0.3636,0.76,0.0,4,0,11,1,5,1
0.36,0.3333,0.46,0.2836,1,0,3,20,0,1
0.58,0.5455,0.6,0.1343,3,1,9,9,0,1
0.52,0.5,0.39,0.2239,4,0,11,14,5,1
0.5,0.4848,0.55,0.194,4,1,9,8,1,1
0.62,0.5909,0.73,0.1642,2,1,5,15,1,2
0.46,0.4545,0.77,0.2537,1,1,3,9,4,1
0.36,0.3788,0.66,0.0,1,1,1,0,0,1
0.56,0.5303,0.73,0.0896,3,1,9,0,5,1
0.52,0.5,0.83,0.1045,4,0,9,3,5,1
0.8,0.7273,0.46,0.194,3,0,8,16,6,1
0.18,0.197,0.43,0.1642,1,0,1,5,1,2
0.42,0.4242,0.67,0.2239,1,0,3,20,4,1
0.66,0.6212,0.39,0.1343,3,1,9,14,0,1
0.28,0.2727,0.48,0.2537,1,0,2,15,5,2
0.5,0.4848,0.42,0.3582,2,1,3,14,4,1
0.7,0.6667,0.84,0.0,3,1,9,9,0,2
0.7,0.6515,0.58,0.1045,2,1,5,12,4,1
0.66,0.6212,0.5,0.2239,4,1,9,16,5,2
0.72,0.6667,0.48,0.2239,2,1,6,17,4,1
0.3,0.2879,0.42,0.2836,1,1,2,13,1,1
0.34,0.3485,0.81,0.0896,4,1,10,6,5,1
0.14,0.1212,0.93,0.2537,1,0,1,22,1,3
0.28,0.3182,0.75,0.0,4,0,12,7,3,1
0.9,0.8182,0.37,0.194,3,0,7,11,6,1
0.16,0.1818,0.86,0.1343,4,0,12,4,1,1
0.32,0.3182,1.0,0.194,2,0,4,1,6,2
0.26,0.2424,0.48,0.2836,4,1,12,0,4,1
0.54,0.5152,1.0,0.1045,4,0,10,5,4,2
0.58,0.5455,0.64,0.1045,2,1,6,7,6,1
0.46,0.4545,1.0,0.1343,4,0,11,14,3,2
0.66,0.6212,0.69,0.194,3,1,8,7,3,2
0.34,0.3182,0.76,0.2239,2,1,4,19,1,2
0.8,0.7121,0.38,0.194,3,1,7,16,3,1
0.6,0.5758,0.78,0.3284,4,1,10,12,1,3
0.42,0.4242,0.71,0.1045,4,1,11,0,1,1
0.58,0.5455,0.94,0.0,4,0,9,3,6,1
0.6,0.6061,0.64,0.3284,2,1,6,8,4,1
0.64,0.5758,0.89,0.8358,3,0,8,17,6,3
0.56,0.5303,0.83,0.1343,4,0,10,0,3,2
0.34,0.3182,0.46,0.2239,2,0,3,10,3,2
0.46,0.4545,0.88,0.1642,1,1,3,2,1,1
0.48,0.4697,0.33,0.194,4,1,10,14,6,1
0.3,0.303,0.87,0.1343,2,0,3,14,4,3
0.82,0.7727,0.52,0.1343,3,1,7,17,1,1
0.76,0.6818,0.48,0.0,2,0,6,16,0,2
0.74,0.6818,0.48,0.194,3,0,7,19,6,1
0.48,0.4697,0.48,0.2239,4,0,10,14,6,2
0.2,0.1818,0.32,0.3582,1,1,1,14,0,1
0.46,0.4545,0.77,0.194,3,0,9,7,6,2
0.28,0.2727,0.48,0.194,4,0,11,20,5,1
0.5,0.4848,0.45,0.2836,4,0,10,9,1,2
0.84,0.7879,0.49,0.1642,3,1,9,16,6,2
0.72,0.6818,0.62,0.2239,2,0,5,13,6,1
0.2,0.1818,0.59,0.3582,1,1,2,9,1,1
0.54,0.5152,0.83,0.2836,2,1,5,2,0,2
0.64,0.6212,0.33,0.0,3,1,9,12,2,1
0.62,0.6061,0.21,0.1642,2,1,4,16,2,1
0.56,0.5303,1.0,0.1045,4,0,10,9,4,3
0.54,0.5152,0.77,0.2239,2,1,4,5,1,1
0.2,0.1818,0.32,0.3881,1,0,2,18,2,1
0.44,0.4394,0.88,0.1045,2,0,5,6,1,1
0.48,0.4697,0.2,0.194,2,1,4,22,6,1
0.72,0.697,0.79,0.1642,3,1,8,23,0,2
0.62,0.5606,0.88,0.1045,4,0,9,1,1,2
0.52,0.5,0.45,0.0,4,1,11,15,6,1
0.36,0.3788,0.71,0.0,1,0,12,3,3,2
0.66,0.6061,0.83,0.0896,3,0,7,18,5,1
0.28,0.2879,0.81,0.1045,1,0,3,0,6,2
0.3,0.3182,0.49,0.0,1,1,2,8,2,1
0.7,0.6667,0.79,0.194,3,0,8,22,0,2
0.14,0.1061,0.39,0.3881,1,1,2,22,6,2
0.6,0.5758,0.78,0.1343,3,1,8,8,2,1
0.76,0.697,0.55,0.0,2,0,6,9,5,1
0.34,0.303,0.46,0.3582,4,1,11,23,4,1
0.7,0.6515,0.65,0.194,3,0,8,18,1,1
0.68,0.6364,0.79,0.2836,2,1,5,3,2,1
0.36,0.3636,0.93,0.0896,2,0,4,5,0,2
0.82,0.8333,0.63,0.0,3,0,8,11,0,1
0.66,0.6212,0.61,0.194,2,1,5,15,4,1
0.24,0.2576,0.6,0.1045,1,1,12,4,5,2
0.8,0.7576,0.55,0.3284,3,0,7,20,0,1
0.34,0.303,0.57,0.3881,2,1,4,21,3,1
0.5,0.4848,1.0,0.1045,2,0,5,5,0,1
0.52,0.5,0.59,0.1343,2,0,5,23,2,2
0.26,0.2424,0.25,0.2537,1,0,2,11,2,1
0.78,0.7424,0.62,0.1045,3,1,7,18,0,1
0.42,0.4242,0.94,0.4627,4,1,10,20,0,3
0.16,0.1212,0.55,0.4478,1,0,1,22,3,1
0.54,0.5152,0.52,0.3582,4,1,9,1,0,1
0.64,0.6212,0.33,0.2537,2,0,6,22,4,1
0.34,0.3485,0.87,0.1045,4,0,12,22,0,1
0.68,0.6364,0.57,0.0,3,1,8,23,2,1
0.38,0.3939,0.5,0.2239,4,1,12,16,2,2
0.42,0.4242,0.88,0.2239,4,0,11,22,3,3
0.58,0.5455,0.83,0.1343,2,0,6,4,2,1
0.36,0.3788,0.37,0.0,2,1,4,6,0,1
0.34,0.303,0.53,0.2985,1,0,3,18,5,2
0.4,0.4091,0.82,0.2537,2,1,4,8,0,3
0.74,0.6515,0.35,0.2537,2,1,6,15,6,1
0.66,0.6212,0.74,0.0,3,1,8,23,4,1
0.46,0.4545,0.88,0.0896,4,0,11,23,0,3
0.54,0.5152,0.56,0.194,4,0,11,17,0,1
0.5,0.4848,0.34,0.2836,4,0,11,16,4,1
0.62,0.6061,0.69,0.1045,2,0,5,9,0,1
0.4,0.4091,0.87,0.2537,1,0,1,20,6,2
0.7,0.6515,0.61,0.1343,2,0,6,6,6,1
0.36,0.3333,0.87,0.2537,4,1,10,2,2,3
0.32,0.3182,0.33,0.1642,2,1,4,5,6,1
0.3,0.2576,0.42,0.4925,1,0,12,10,6,1
0.54,0.5152,0.88,0.1642,2,1,6,11,1,2
0.24,0.2576,0.7,0.0896,4,1,11,1,5,1
0.78,0.7727,0.7,0.1343,3,1,7,6,0,1
0.22,0.197,0.55,0.4478,1,1,2,10,1,1
0.34,0.3485,0.46,0.1045,4,0,12,20,4,1
0.42,0.4242,0.54,0.2836,2,0,3,21,2,2
0.76,0.6818,0.45,0.2836,3,0,7,20,6,1
0.56,0.5303,0.64,0.1045,3,1,9,22,2,1
0.64,0.5758,0.89,0.0,2,0,6,3,1,3
0.6,0.5758,0.78,0.0896,2,1,5,10,2,2
0.18,0.1667,0.4,0.2985,1,1,1,12,0,1
0.76,0.7121,0.62,0.0896,3,1,7,13,6,2
0.2,0.1818,0.86,0.3284,1,1,12,9,3,3
0.3,0.303,0.39,0.1642,2,0,3,21,5,2
0.62,0.6212,0.38,0.2836,2,0,6,0,5,1
0.28,0.2424,0.56,0.4478,1,1,12,11,4,2
0.34,0.3485,0.76,0.0896,4,0,11,9,6,1
0.5,0.4848,0.59,0.4478,4,1,10,14,0,2
0.72,0.6515,0.42,0.0896,2,1,5,14,3,1
0.26,0.2424,0.35,0.2836,1,1,1,10,1,1
0.28,0.2576,0.45,0.3284,1,1,1,5,1,1
0.7,0.6515,0.54,0.1642,3,1,9,13,5,1
0.76,0.6818,0.45,0.1045,3,1,7,11,4,1
0.56,0.5303,0.64,0.4627,2,0,4,12,2,2
0.26,0.2576,0.87,0.1642,1,1,12,2,2,2
0.62,0.6212,0.38,0.2985,2,0,5,18,1,1
0.64,0.5758,0.89,0.0896,3,1,8,7,5,2
0.56,0.5303,0.26,0.2239,2,1,4,13,3,1
0.58,0.5455,0.49,0.4478,2,0,6,8,1,1
0.6,0.6212,0.4,0.2239,1,1,2,16,3,1
0.34,0.2879,0.36,0.5224,1,1,1,6,3,1
0.26,0.2273,0.37,0.4627,1,1,3,20,1,1
0.42,0.4242,0.32,0.2985,4,0,11,14,6,1
0.32,0.2879,0.53,0.3582,4,1,11,18,3,2
0.7,0.6667,0.84,0.1642,3,1,7,14,5,3
0.76,0.7121,0.58,0.2537,2,1,5,14,0,1
0.32,0.3333,0.93,0.0896,1,0,12,20,2,1
0.4,0.4091,0.87,0.0,4,1,12,12,1,2
0.26,0.2727,0.65,0.1045,1,1,2,4,2,2
0.44,0.4394,0.67,0.1343,4,1,10,2,2,1
0.66,0.6212,0.69,0.0,3,1,7,5,3,1
0.64,0.5758,0.83,0.0,4,0,9,9,0,2
0.36,0.3333,0.71,0.2537,1,0,1,11,0,2
0.26,0.2576,0.48,0.0,2,0,3,10,5,1
0.46,0.4545,0.82,0.2537,4,1,10,8,4,1
0.74,0.6667,0.45,0.0,3,1,7,22,5,1
0.3,0.3333,0.33,0.0,1,0,2,19,3,1
0.36,0.3485,0.5,0.1642,4,1,10,6,4,1
0.16,0.1818,0.86,0.1045,1,1,1,21,0,3
0.42,0.4242,0.41,0.1343,2,1,4,17,6,2
0.32,0.3333,0.81,0.1045,1,1,1,14,3,3
0.64,0.6212,0.57,0.1642,2,1,6,10,5,1
0.34,0.303,0.49,0.4179,1,1,2,13,2,1
0.66,0.6212,0.69,0.0,3,0,8,8,6,1
0.38,0.3939,0.76,0.194,4,0,11,19,0,1
0.16,0.1818,0.86,0.1343,2,0,3,6,0,3
0.56,0.5303,0.43,0.0896,2,0,4,14,4,1
0.24,0.2424,0.48,0.1642,2,0,3,11,0,2
0.52,0.5,0.48,0.1642,3,0,9,16,5,2
0.46,0.4545,0.82,0.194,1,1,3,5,2,2
0.38,0.3939,0.66,0.1642,1,0,3,5,5,1
0.22,0.2273,0.55,0.1343,2,0,3,9,0,1
0.36,0.3333,0.53,0.3582,4,1,12,11,2,2
0.26,0.303,0.75,0.0,4,1,12,5,6,2
0.22,0.2121,0.75,0.2537,1,0,3,6,6,1
0.24,0.2424,0.75,0.1642,1,0,1,2,5,3
0.48,0.4697,0.82,0.1045,1,0,12,2,4,1
0.4,0.4091,0.5,0.3881,4,1,12,17,3,1
0.26,0.2727,0.81,0.1045,4,0,11,6,5,1
0.5,0.4848,0.72,0.1343,4,1,9,19,0,3
0.28,0.2879,0.45,0.1343,1,0,12,17,6,1
0.7,0.6364,0.37,0.0,3,0,8,10,2,1
0.82,0.7273,0.36,0.2985,3,0,8,10,2,1
0.24,0.2576,0.32,0.1045,1,0,1,18,1,1
0.6,0.5606,0.83,0.1343,3,0,8,6,6,2
0.74,0.697,0.66,0.0,3,1,6,6,5,2
0.46,0.4545,0.63,0.0896,1,1,2,23,3,1
0.86,0.803,0.47,0.0,3,1,7,11,2,2
0.56,0.5303,0.83,0.1642,2,1,6,7,5,1
0.66,0.6061,0.78,0.3284,3,0,8,19,4,2
0.56,0.5303,0.83,0.2836,3,1,9,4,6,1
0.28,0.2727,0.61,0.2239,4,1,11,0,4,3
0.54,0.5152,0.45,0.194,2,1,5,23,1,2
0.64,0.5606,0.94,0.1045,3,0,7,3,4,1
0.42,0.4242,0.88,0.1045,1,1,3,10,0,2
0.56,0.5303,0.56,0.1045,1,1,3,10,3,1
0.34,0.3485,0.71,0.1045,2,1,4,6,2,1
0.32,0.3485,0.39,0.0,2,0,3,1,3,1
0.38,0.3939,0.66,0.0896,4,1,10,5,0,1
0.42,0.4242,0.77,0.3881,2,1,4,7,0,3
0.4,0.4091,0.65,0.194,1,0,3,23,3,1
0.6,0.6212,0.43,0.1642,4,1,10,13,1,2
0.44,0.4394,0.72,0.3284,1,0,3,21,6,2
0.4,0.4091,0.87,0.0,1,1,2,8,4,3
0.64,0.5758,0.89,0.0,4,1,10,2,4,1
0.68,0.6364,0.79,0.1343,3,1,8,11,5,3
0.42,0.4242,0.67,0.1343,4,1,10,8,0,3
0.38,0.3939,0.66,0.0,4,0,10,5,6,1
0.7,0.6515,0.54,0.2537,4,1,9,14,5,2
0.42,0.4242,0.71,0.2985,2,0,3,11,1,2
0.24,0.2424,0.6,0.1642,4,1,11,1,2,1
0.46,0.4545,0.67,0.2985,1,0,2,23,4,1
0.26,0.2424,0.3,0.2537,1,0,1,16,1,1
0.74,0.697,0.7,0.1642,3,0,6,11,3,1
0.32,0.3182,0.49,0.194,1,1,3,20,2,1
0.24,0.2273,0.6,0.2239,4,1,12,7,4,1
0.5,0.4848,0.88,0.1343,2,0,5,0,6,2
0.52,0.5,0.68,0.1045,1,1,3,10,4,1
0.28,0.2576,0.87,0.2985,4,0,10,0,6,3
0.38,0.3939,0.87,0.3284,2,1,4,14,0,3
0.74,0.6667,0.42,0.2239,3,0,8,19,5,1
0.4,0.4091,0.58,0.1642,4,1,11,13,4,2
0.7,0.6515,0.58,0.2836,3,1,9,11,6,1
0.7,0.6667,0.84,0.2537,3,1,8,0,2,1
0.62,0.5455,0.94,0.0,4,0,9,16,5,3
0.32,0.303,0.26,0.2537,1,1,1,14,0,1
0.62,0.5909,0.78,0.2537,2,0,4,12,4,2
0.24,0.2424,0.6,0.1642,1,0,1,16,6,1
0.74,0.6667,0.51,0.1642,3,0,8,8,3,2
0.82,0.803,0.59,0.2537,3,1,8,18,5,2
0.28,0.2576,0.38,0.3284,2,0,3,22,5,2
0.7,0.6667,0.74,0.2239,3,1,8,0,2,1
0.44,0.4394,0.72,0.1045,4,1,12,18,0,2
0.62,0.5909,0.78,0.1642,3,0,6,0,2,1
0.26,0.2879,0.93,0.0896,4,1,12,8,0,2
0.44,0.4394,0.72,0.1343,4,1,9,1,2,1
0.4,0.4091,0.62,0.2836,1,1,1,12,0,1
0.46,0.4545,0.94,0.2836,1,1,3,2,4,2
0.24,0.197,0.41,0.4179,1,1,2,23,6,1
0.5,0.4848,0.88,0.194,4,0,10,10,4,3
0.64,0.5758,0.89,0.194,2,1,6,8,5,2
0.54,0.5152,0.88,0.4179,3,0,9,19,2,2
0.74,0.697,0.66,0.1642,3,1,7,18,0,1
0.52,0.5,0.94,0.1343,2,0,5,1,1,1
0.22,0.2121,0.44,0.2985,1,1,3,8,6,1
0.62,0.6061,0.69,0.194,2,1,3,15,4,1
0.92,0.8333,0.33,0.3284,3,1,7,14,4,1
0.8,0.7121,0.38,0.1343,3,1,8,18,4,1
0.82,0.7879,0.56,0.2537,3,0,7,13,1,1
0.74,0.6667,0.51,0.0,2,0,6,13,0,2
0.36,0.3485,0.81,0.194,2,0,4,23,5,2
0.56,0.5303,0.49,0.0896,2,1,5,10,6,1
0.74,0.6818,0.55,0.2239,3,0,9,15,6,1
0.5,0.4848,0.59,0.1642,2,1,4,21,0,2
0.66,0.6212,0.69,0.2239,4,1,9,18,4,2
0.64,0.6212,0.57,0.2985,3,0,7,2,4,1
0.64,0.6212,0.57,0.1642,2,1,4,1,2,1
0.38,0.3939,0.5,0.2537,1,1,3,22,4,1
0.4,0.4091,0.71,0.2836,3,0,9,2,5,1
0.62,0.6061,0.69,0.0896,4,0,10,11,1,1
0.6,0.6212,0.43,0.1642,4,1,10,12,1,2
0.5,0.4848,0.63,0.1045,2,1,4,22,0,3
0.16,0.1667,0.37,0.1642,1,1,1,19,0,1
0.4,0.4091,0.62,0.0896,4,1,10,11,1,2
0.66,0.6212,0.47,0.1045,2,0,6,21,6,2
0.22,0.2727,0.93,0.0,1,0,1,23,2,2
0.72,0.6515,0.3,0.1045,2,1,5,15,6,1
0.84,0.7273,0.32,0.0,3,0,7,17,6,1
0.32,0.3333,0.81,0.1045,1,1,1,9,4,1
0.62,0.5758,0.83,0.0896,4,0,9,12,6,2
0.34,0.3333,0.66,0.1642,1,0,3,4,0,1
0.3,0.2879,0.52,0.2537,1,0,3,23,5,1
0.36,0.3485,0.93,0.1343,1,1,1,6,4,3
0.6,0.5455,0.88,0.0896,3,0,8,23,5,2
0.52,0.5,0.77,0.0,4,1,10,5,5,1
0.72,0.6667,0.54,0.0,3,0,8,21,2,1
0.16,0.1818,0.93,0.1045,1,0,1,9,6,3
0.34,0.303,0.57,0.2985,1,1,2,10,3,1
0.36,0.3485,0.66,0.194,2,0,5,0,4,1
0.54,0.5152,0.94,0.0896,2,0,5,11,3,2
0.32,0.3182,0.81,0.1642,4,0,10,6,0,1
0.72,0.6667,0.58,0.1642,3,0,7,3,3,1
0.26,0.2424,0.81,0.2537,1,1,2,14,6,2
